branch_id,branch_code,month_number,month_name,tier,province,city,compliance_score,risk_score,exceptions_count
1,SMA001,1,January,Small,Northwest Territories,Yellowknife,87.7,13.23,4
1,SMA001,2,February,Small,Northwest Territories,Yellowknife,88.06,12.25,0
1,SMA001,3,March,Small,Northwest Territories,Yellowknife,93.63,6.7,0
1,SMA001,4,April,Small,Northwest Territories,Yellowknife,93.73,6.45,4
1,SMA001,5,May,Small,Northwest Territories,Yellowknife,91.18,6.11,4
1,SMA001,6,June,Small,Northwest Territories,Yellowknife,90.7,9.73,0
1,SMA001,7,July,Small,Northwest Territories,Yellowknife,87.33,12.44,4
1,SMA001,8,August,Small,Northwest Territories,Yellowknife,86.85,12.82,4
1,SMA001,9,September,Small,Northwest Territories,Yellowknife,84.72,15.47,0
1,SMA001,10,October,Small,Northwest Territories,Yellowknife,82.81,16.81,0
1,SMA001,11,November,Small,Northwest Territories,Yellowknife,86.16,11.94,2
1,SMA001,12,December,Small,Northwest Territories,Yellowknife,86.52,11.31,2
2,SMA002,1,January,Small,Nova Scotia,Dartmouth,87.39,12.19,1
2,SMA002,2,February,Small,Nova Scotia,Dartmouth,89.95,10.77,4
2,SMA002,3,March,Small,Nova Scotia,Dartmouth,93.65,4.63,1
2,SMA002,4,April,Small,Nova Scotia,Dartmouth,94.33,5.02,2
2,SMA002,5,May,Small,Nova Scotia,Dartmouth,93.11,10.05,3
2,SMA002,6,June,Small,Nova Scotia,Dartmouth,89.2,10.38,0
2,SMA002,7,July,Small,Nova Scotia,Dartmouth,88.13,12.79,4
2,SMA002,8,August,Small,Nova Scotia,Dartmouth,84.49,15.46,0
2,SMA002,9,September,Small,Nova Scotia,Dartmouth,84.03,18.51,2
2,SMA002,10,October,Small,Nova Scotia,Dartmouth,81.65,18.11,2
2,SMA002,11,November,Small,Nova Scotia,Dartmouth,82.86,16.09,4
2,SMA002,12,December,Small,Nova Scotia,Dartmouth,86.07,13.21,0
3,SMA003,1,January,Small,Alberta,Calgary,85.75,12.56,3
3,SMA003,2,February,Small,Alberta,Calgary,91.49,7.66,0
3,SMA003,3,March,Small,Alberta,Calgary,93.03,7.29,1
3,SMA003,4,April,Small,Alberta,Calgary,90.02,9.94,3
3,SMA003,5,May,Small,Alberta,Calgary,93.99,6.01,0
3,SMA003,6,June,Small,Alberta,Calgary,91.23,8.27,0
3,SMA003,7,July,Small,Alberta,Calgary,87.98,11.83,1
3,SMA003,8,August,Small,Alberta,Calgary,85.99,13.15,3
3,SMA003,9,September,Small,Alberta,Calgary,83.21,17.07,3
3,SMA003,10,October,Small,Alberta,Calgary,85.67,13.5,1
3,SMA003,11,November,Small,Alberta,Calgary,83.1,15.19,4
3,SMA003,12,December,Small,Alberta,Calgary,86.6,13.37,4
4,SMA004,1,January,Small,Alberta,Grande Prairie,86.41,14.44,1
4,SMA004,2,February,Small,Alberta,Grande Prairie,89.34,8.58,0
4,SMA004,3,March,Small,Alberta,Grande Prairie,92.45,6.97,4
4,SMA004,4,April,Small,Alberta,Grande Prairie,93.97,7.15,2
4,SMA004,5,May,Small,Alberta,Grande Prairie,91.98,7.51,1
4,SMA004,6,June,Small,Alberta,Grande Prairie,90.68,8.23,3
4,SMA004,7,July,Small,Alberta,Grande Prairie,87.63,12.73,0
4,SMA004,8,August,Small,Alberta,Grande Prairie,85.87,14.07,0
4,SMA004,9,September,Small,Alberta,Grande Prairie,84.62,16.0,1
4,SMA004,10,October,Small,Alberta,Grande Prairie,83.28,16.4,2
4,SMA004,11,November,Small,Alberta,Grande Prairie,83.56,17.31,2
4,SMA004,12,December,Small,Alberta,Grande Prairie,83.94,18.38,0
5,SMA005,1,January,Small,Prince Edward Island,Charlottetown,87.03,12.19,3
5,SMA005,2,February,Small,Prince Edward Island,Charlottetown,90.53,9.46,4
5,SMA005,3,March,Small,Prince Edward Island,Charlottetown,92.16,7.7,3
5,SMA005,4,April,Small,Prince Edward Island,Charlottetown,89.8,9.71,2
5,SMA005,5,May,Small,Prince Edward Island,Charlottetown,93.35,5.4,0
5,SMA005,6,June,Small,Prince Edward Island,Charlottetown,88.78,12.29,4
5,SMA005,7,July,Small,Prince Edward Island,Charlottetown,87.95,10.26,1
5,SMA005,8,August,Small,Prince Edward Island,Charlottetown,84.89,15.91,4
5,SMA005,9,September,Small,Prince Edward Island,Charlottetown,83.49,15.92,1
5,SMA005,10,October,Small,Prince Edward Island,Charlottetown,83.51,16.66,0
5,SMA005,11,November,Small,Prince Edward Island,Charlottetown,82.01,16.89,0
5,SMA005,12,December,Small,Prince Edward Island,Charlottetown,85.38,15.36,3
6,SMA006,1,January,Small,British Columbia,Surrey,88.13,10.38,3
6,SMA006,2,February,Small,British Columbia,Surrey,91.98,6.15,0
6,SMA006,3,March,Small,British Columbia,Surrey,91.35,8.06,4
6,SMA006,4,April,Small,British Columbia,Surrey,91.56,8.57,3
6,SMA006,5,May,Small,British Columbia,Surrey,92.75,7.26,0
6,SMA006,6,June,Small,British Columbia,Surrey,91.14,9.02,3
6,SMA006,7,July,Small,British Columbia,Surrey,86.58,13.32,0
6,SMA006,8,August,Small,British Columbia,Surrey,85.63,15.19,0
6,SMA006,9,September,Small,British Columbia,Surrey,84.0,16.23,2
6,SMA006,10,October,Small,British Columbia,Surrey,85.01,14.98,0
6,SMA006,11,November,Small,British Columbia,Surrey,83.59,14.24,1
6,SMA006,12,December,Small,British Columbia,Surrey,84.98,14.99,2
7,SMA007,1,January,Small,Prince Edward Island,Summerside,87.52,13.61,0
7,SMA007,2,February,Small,Prince Edward Island,Summerside,88.81,11.08,1
7,SMA007,3,March,Small,Prince Edward Island,Summerside,93.43,5.16,3
7,SMA007,4,April,Small,Prince Edward Island,Summerside,93.82,5.68,2
7,SMA007,5,May,Small,Prince Edward Island,Summerside,93.33,6.17,1
7,SMA007,6,June,Small,Prince Edward Island,Summerside,90.19,9.63,3
7,SMA007,7,July,Small,Prince Edward Island,Summerside,86.68,12.64,1
7,SMA007,8,August,Small,Prince Edward Island,Summerside,85.26,13.76,1
7,SMA007,9,September,Small,Prince Edward Island,Summerside,83.18,17.09,3
7,SMA007,10,October,Small,Prince Edward Island,Summerside,84.22,14.77,0
7,SMA007,11,November,Small,Prince Edward Island,Summerside,82.42,15.82,1
7,SMA007,12,December,Small,Prince Edward Island,Summerside,85.33,13.38,1
8,SMA008,1,January,Small,Northwest Territories,Yellowknife,88.5,11.84,1
8,SMA008,2,February,Small,Northwest Territories,Yellowknife,91.44,8.28,4
8,SMA008,3,March,Small,Northwest Territories,Yellowknife,92.4,5.87,4
8,SMA008,4,April,Small,Northwest Territories,Yellowknife,95.04,5.34,3
8,SMA008,5,May,Small,Northwest Territories,Yellowknife,91.17,8.07,4
8,SMA008,6,June,Small,Northwest Territories,Yellowknife,91.24,8.4,0
8,SMA008,7,July,Small,Northwest Territories,Yellowknife,89.03,10.96,2
8,SMA008,8,August,Small,Northwest Territories,Yellowknife,83.39,16.85,4
8,SMA008,9,September,Small,Northwest Territories,Yellowknife,84.25,12.51,0
8,SMA008,10,October,Small,Northwest Territories,Yellowknife,82.17,16.92,4
8,SMA008,11,November,Small,Northwest Territories,Yellowknife,82.66,16.77,1
8,SMA008,12,December,Small,Northwest Territories,Yellowknife,85.41,15.68,2
9,SMA009,1,January,Small,Manitoba,Brandon,85.67,15.4,1
9,SMA009,2,February,Small,Manitoba,Brandon,89.04,12.34,1
9,SMA009,3,March,Small,Manitoba,Brandon,92.58,7.96,2
9,SMA009,4,April,Small,Manitoba,Brandon,92.69,7.76,1
9,SMA009,5,May,Small,Manitoba,Brandon,93.42,6.09,1
9,SMA009,6,June,Small,Manitoba,Brandon,88.57,10.31,2
