employee_id,branch_id,month_number,month_name,survey_response_count,lei_score
1,1,1,January,9,4.28
1,1,2,February,7,4.04
1,1,3,March,10,4.42
1,1,4,April,10,4.42
1,1,5,May,7,4.11
1,1,6,June,9,4.48
1,1,7,July,6,4.17
1,1,8,August,12,3.76
1,1,9,September,7,4.08
1,1,10,October,13,3.78
1,1,11,November,7,3.71
1,1,12,December,6,3.21
2,1,1,January,10,4.07
2,1,2,February,15,4.31
2,1,3,March,4,4.2
2,1,4,April,5,4.06
2,1,5,May,9,4.28
2,1,6,June,8,4.08
2,1,7,July,10,3.23
2,1,8,August,8,3.86
2,1,9,September,12,3.84
2,1,10,October,6,3.55
2,1,11,November,7,3.36
2,1,12,December,6,3.0
3,1,1,January,10,4.02
3,1,2,February,15,3.64
3,1,3,March,12,4.33
3,1,4,April,13,3.91
3,1,5,May,15,4.47
3,1,6,June,10,3.88
3,1,7,July,5,3.93
3,1,8,August,6,4.08
3,1,9,September,8,3.79
3,1,10,October,15,3.35
3,1,11,November,8,3.89
3,1,12,December,4,4.15
4,1,1,January,4,3.83
4,1,2,February,13,3.98
4,1,3,March,13,3.63
4,1,4,April,15,3.85
4,1,5,May,5,4.12
4,1,6,June,11,3.82
4,1,7,July,13,4.21
4,1,8,August,5,3.87
4,1,9,September,8,3.63
4,1,10,October,4,3.06
4,1,11,November,8,3.68
4,1,12,December,12,3.71
5,1,1,January,6,3.68
5,1,2,February,4,3.55
5,1,3,March,12,3.97
5,1,4,April,12,4.44
5,1,5,May,14,4.07
5,1,6,June,6,3.85
5,1,7,July,6,3.87
5,1,8,August,10,3.64
5,1,9,September,4,3.36
5,1,10,October,4,3.46
5,1,11,November,13,2.95
5,1,12,December,9,3.93
6,1,1,January,4,4.02
6,1,2,February,5,4.35
6,1,3,March,10,4.53
6,1,4,April,5,3.74
6,1,5,May,14,4.17
6,1,6,June,9,3.9
6,1,7,July,15,4.21
6,1,8,August,10,3.3
6,1,9,September,10,3.46
6,1,10,October,15,4.01
6,1,11,November,13,3.53
6,1,12,December,10,3.53
7,2,1,January,10,4.11
7,2,2,February,14,4.22
7,2,3,March,8,4.28
7,2,4,April,11,3.69
7,2,5,May,7,4.13
7,2,6,June,10,4.07
7,2,7,July,12,4.57
7,2,8,August,8,4.25
7,2,9,September,15,3.91
7,2,10,October,15,3.8
7,2,11,November,9,3.71
7,2,12,December,8,3.65
8,2,1,January,4,3.49
8,2,2,February,12,4.23
8,2,3,March,5,4.53
8,2,4,April,12,4.43
8,2,5,May,4,4.08
