employee_id,branch_id,branch_code,role,tier,month_number,month_name,lending_actual,investing_actual,banking_units_actual,lei_actual
1,1,SMA001,Manager,Small,1,January,2483.76,1797.47,586.11,3.92
1,1,SMA001,Manager,Small,2,February,2726.32,1969.34,616.72,3.88
1,1,SMA001,Manager,Small,3,March,2515.1,1893.55,635.59,4.27
1,1,SMA001,Manager,Small,4,April,2420.52,1892.01,665.69,4.34
1,1,SMA001,Manager,Small,5,May,2429.83,1946.39,621.59,4.09
1,1,SMA001,Manager,Small,6,June,2533.8,1853.74,593.76,4.02
1,1,SMA001,Manager,Small,7,July,2582.82,1805.76,600.02,3.86
1,1,SMA001,Manager,Small,8,August,2463.94,1702.01,604.93,4.05
1,1,SMA001,Manager,Small,9,September,2411.24,1817.27,563.14,3.75
1,1,SMA001,Manager,Small,10,October,2425.0,1674.48,600.34,3.79
1,1,SMA001,Manager,Small,11,November,2482.97,1663.4,545.21,3.79
1,1,SMA001,Manager,Small,12,December,2357.28,1759.82,569.68,3.7
2,1,SMA001,Advisor,Small,1,January,1771.97,1404.62,413.22,3.76
2,1,SMA001,Advisor,Small,2,February,1781.91,1552.22,450.49,4.06
2,1,SMA001,Advisor,Small,3,March,1912.64,1537.9,433.58,4.14
2,1,SMA001,Advisor,Small,4,April,1927.37,1567.48,442.62,4.2
2,1,SMA001,Advisor,Small,5,May,1900.29,1498.29,411.31,3.89
2,1,SMA001,Advisor,Small,6,June,1901.95,1419.39,403.38,4.18
2,1,SMA001,Advisor,Small,7,July,1794.95,1307.63,424.86,3.81
2,1,SMA001,Advisor,Small,8,August,1823.99,1332.39,382.64,3.7
2,1,SMA001,Advisor,Small,9,September,1667.5,1282.4,398.76,3.81
2,1,SMA001,Advisor,Small,10,October,1653.17,1221.4,409.57,3.76
2,1,SMA001,Advisor,Small,11,November,1585.83,1226.17,374.06,3.77
2,1,SMA001,Advisor,Small,12,December,1726.76,1286.78,379.83,3.65
3,1,SMA001,Advisor,Small,1,January,1963.94,1414.64,428.3,4.05
3,1,SMA001,Advisor,Small,2,February,1830.89,1503.23,436.26,4.01
3,1,SMA001,Advisor,Small,3,March,1909.31,1522.14,424.46,4.0
3,1,SMA001,Advisor,Small,4,April,1925.17,1583.28,452.14,3.92
3,1,SMA001,Advisor,Small,5,May,1970.87,1442.83,471.06,4.34
3,1,SMA001,Advisor,Small,6,June,1756.72,1488.56,422.74,3.84
3,1,SMA001,Advisor,Small,7,July,1932.64,1428.84,428.59,3.8
3,1,SMA001,Advisor,Small,8,August,1722.05,1290.19,397.91,3.83
3,1,SMA001,Advisor,Small,9,September,1766.46,1302.84,405.09,3.53
3,1,SMA001,Advisor,Small,10,October,1671.21,1399.57,370.52,3.6
3,1,SMA001,Advisor,Small,11,November,1674.59,1399.33,392.41,3.63
3,1,SMA001,Advisor,Small,12,December,1740.06,1344.4,399.64,3.96
4,1,SMA001,Teller,Small,1,January,0.0,0.0,544.64,3.65
4,1,SMA001,Teller,Small,2,February,0.0,0.0,598.96,4.0
4,1,SMA001,Teller,Small,3,March,0.0,0.0,551.37,3.9
4,1,SMA001,Teller,Small,4,April,0.0,0.0,593.76,4.11
4,1,SMA001,Teller,Small,5,May,0.0,0.0,561.4,4.11
4,1,SMA001,Teller,Small,6,June,0.0,0.0,561.98,3.82
4,1,SMA001,Teller,Small,7,July,0.0,0.0,533.03,3.93
4,1,SMA001,Teller,Small,8,August,0.0,0.0,552.08,3.53
4,1,SMA001,Teller,Small,9,September,0.0,0.0,525.1,3.57
4,1,SMA001,Teller,Small,10,October,0.0,0.0,504.3,3.63
4,1,SMA001,Teller,Small,11,November,0.0,0.0,559.95,3.45
4,1,SMA001,Teller,Small,12,December,0.0,0.0,528.27,3.65
5,1,SMA001,Teller,Small,1,January,0.0,0.0,561.71,3.58
5,1,SMA001,Teller,Small,2,February,0.0,0.0,622.03,3.84
5,1,SMA001,Teller,Small,3,March,0.0,0.0,587.61,4.22
5,1,SMA001,Teller,Small,4,April,0.0,0.0,589.99,3.96
5,1,SMA001,Teller,Small,5,May,0.0,0.0,538.91,4.07
5,1,SMA001,Teller,Small,6,June,0.0,0.0,566.62,4.0
5,1,SMA001,Teller,Small,7,July,0.0,0.0,554.11,3.85
5,1,SMA001,Teller,Small,8,August,0.0,0.0,584.74,3.48
5,1,SMA001,Teller,Small,9,September,0.0,0.0,515.07,3.64
5,1,SMA001,Teller,Small,10,October,0.0,0.0,563.64,3.4
5,1,SMA001,Teller,Small,11,November,0.0,0.0,523.98,3.55
5,1,SMA001,Teller,Small,12,December,0.0,0.0,536.87,3.69
6,1,SMA001,Teller,Small,1,January,0.0,0.0,526.36,4.06
6,1,SMA001,Teller,Small,2,February,0.0,0.0,580.45,4.15
6,1,SMA001,Teller,Small,3,March,0.0,0.0,569.91,3.86
6,1,SMA001,Teller,Small,4,April,0.0,0.0,644.37,4.06
6,1,SMA001,Teller,Small,5,May,0.0,0.0,622.55,4.25
6,1,SMA001,Teller,Small,6,June,0.0,0.0,574.31,3.8
6,1,SMA001,Teller,Small,7,July,0.0,0.0,560.1,3.7
6,1,SMA001,Teller,Small,8,August,0.0,0.0,545.34,3.45
6,1,SMA001,Teller,Small,9,September,0.0,0.0,540.51,3.81
6,1,SMA001,Teller,Small,10,October,0.0,0.0,533.57,3.68
6,1,SMA001,Teller,Small,11,November,0.0,0.0,528.82,3.55
6,1,SMA001,Teller,Small,12,December,0.0,0.0,550.1,3.81
7,2,SMA002,Manager,Small,1,January,2453.68,1860.06,575.76,3.96
7,2,SMA002,Manager,Small,2,February,2600.33,1779.3,598.37,4.28
7,2,SMA002,Manager,Small,3,March,2516.33,1947.59,612.43,4.35
7,2,SMA002,Manager,Small,4,April,2456.86,2013.64,601.21,4.05
7,2,SMA002,Manager,Small,5,May,2734.5,1919.77,633.72,3.96
7,2,SMA002,Manager,Small,6,June,2573.86,1786.97,628.87,4.05
7,2,SMA002,Manager,Small,7,July,2518.79,1804.99,625.91,4.14
7,2,SMA002,Manager,Small,8,August,2443.28,1776.32,538.97,3.76
7,2,SMA002,Manager,Small,9,September,2497.82,1623.97,580.84,3.89
7,2,SMA002,Manager,Small,10,October,2176.33,1626.21,601.34,3.96
7,2,SMA002,Manager,Small,11,November,2350.33,1597.85,571.29,3.99
7,2,SMA002,Manager,Small,12,December,2408.66,1873.72,573.47,3.85
8,2,SMA002,Advisor,Small,1,January,1800.62,1458.28,424.98,4.13
8,2,SMA002,Advisor,Small,2,February,1919.78,1383.21,449.92,3.96
8,2,SMA002,Advisor,Small,3,March,1841.25,1465.06,435.58,3.88
8,2,SMA002,Advisor,Small,4,April,1832.92,1518.65,427.39,4.11
8,2,SMA002,Advisor,Small,5,May,2015.46,1471.34,430.09,4.1
8,2,SMA002,Advisor,Small,6,June,1830.41,1571.47,466.47,3.75
8,2,SMA002,Advisor,Small,7,July,1703.62,1402.94,396.81,3.98
8,2,SMA002,Advisor,Small,8,August,1686.65,1282.47,400.86,3.79
8,2,SMA002,Advisor,Small,9,September,1717.41,1269.3,369.66,3.84
8,2,SMA002,Advisor,Small,10,October,1712.02,1354.01,405.32,3.7
8,2,SMA002,Advisor,Small,11,November,1578.25,1217.02,408.5,3.75
8,2,SMA002,Advisor,Small,12,December,1733.08,1337.37,435.28,3.69
9,2,SMA002,Advisor,Small,1,January,1726.96,1368.91,451.53,4.11
9,2,SMA002,Advisor,Small,2,February,1779.73,1416.71,431.34,4.19
9,2,SMA002,Advisor,Small,3,March,2041.03,1597.41,469.29,4.24
9,2,SMA002,Advisor,Small,4,April,1885.29,1529.61,421.41,4.32
9,2,SMA002,Advisor,Small,5,May,1950.51,1457.9,457.4,3.89
9,2,SMA002,Advisor,Small,6,June,1867.21,1430.95,443.78,4.13
9,2,SMA002,Advisor,Small,7,July,1690.17,1413.71,419.78,3.76
9,2,SMA002,Advisor,Small,8,August,1817.56,1296.2,392.59,3.68
9,2,SMA002,Advisor,Small,9,September,1691.04,1435.72,436.98,3.65
9,2,SMA002,Advisor,Small,10,October,1702.45,1263.78,429.85,3.58
9,2,SMA002,Advisor,Small,11,November,1837.85,1254.46,427.63,3.67
9,2,SMA002,Advisor,Small,12,December,1825.58,1366.69,393.94,3.78
10,2,SMA002,Teller,Small,1,January,0.0,0.0,548.21,3.71
10,2,SMA002,Teller,Small,2,February,0.0,0.0,581.69,3.83
10,2,SMA002,Teller,Small,3,March,0.0,0.0,566.33,3.99
10,2,SMA002,Teller,Small,4,April,0.0,0.0,563.28,4.22
10,2,SMA002,Teller,Small,5,May,0.0,0.0,565.8,4.14
10,2,SMA002,Teller,Small,6,June,0.0,0.0,572.48,3.97
10,2,SMA002,Teller,Small,7,July,0.0,0.0,551.5,3.78
10,2,SMA002,Teller,Small,8,August,0.0,0.0,527.42,3.62
10,2,SMA002,Teller,Small,9,September,0.0,0.0,534.93,3.59
10,2,SMA002,Teller,Small,10,October,0.0,0.0,532.2,3.78
10,2,SMA002,Teller,Small,11,November,0.0,0.0,539.24,3.48
10,2,SMA002,Teller,Small,12,December,0.0,0.0,559.38,3.57
11,2,SMA002,Teller,Small,1,January,0.0,0.0,531.05,3.82
11,2,SMA002,Teller,Small,2,February,0.0,0.0,577.39,3.97
11,2,SMA002,Teller,Small,3,March,0.0,0.0,618.21,4.16
11,2,SMA002,Teller,Small,4,April,0.0,0.0,620.07,3.98
11,2,SMA002,Teller,Small,5,May,0.0,0.0,576.58,3.92
11,2,SMA002,Teller,Small,6,June,0.0,0.0,537.3,3.84
11,2,SMA002,Teller,Small,7,July,0.0,0.0,530.27,3.77
11,2,SMA002,Teller,Small,8,August,0.0,0.0,525.2,3.75
11,2,SMA002,Teller,Small,9,September,0.0,0.0,552.38,3.41
11,2,SMA002,Teller,Small,10,October,0.0,0.0,518.83,3.7
11,2,SMA002,Teller,Small,11,November,0.0,0.0,548.4,3.52
11,2,SMA002,Teller,Small,12,December,0.0,0.0,541.99,3.75
12,2,SMA002,Teller,Small,1,January,0.0,0.0,581.82,3.67
12,2,SMA002,Teller,Small,2,February,0.0,0.0,616.94,4.08
12,2,SMA002,Teller,Small,3,March,0.0,0.0,602.47,3.99
12,2,SMA002,Teller,Small,4,April,0.0,0.0,577.74,3.82
12,2,SMA002,Teller,Small,5,May,0.0,0.0,600.49,3.98
12,2,SMA002,Teller,Small,6,June,0.0,0.0,583.88,3.79
12,2,SMA002,Teller,Small,7,July,0.0,0.0,543.88,3.87
12,2,SMA002,Teller,Small,8,August,0.0,0.0,513.47,3.79
12,2,SMA002,Teller,Small,9,September,0.0,0.0,539.14,3.58
12,2,SMA002,Teller,Small,10,October,0.0,0.0,508.36,3.3
12,2,SMA002,Teller,Small,11,November,0.0,0.0,539.25,3.72
12,2,SMA002,Teller,Small,12,December,0.0,0.0,545.48,3.65
13,3,SMA003,Manager,Small,1,January,2488.33,1837.17,600.78,3.76
13,3,SMA003,Manager,Small,2,February,2603.61,1948.51,598.86,4.28
13,3,SMA003,Manager,Small,3,March,2675.77,1974.06,625.56,4.41
13,3,SMA003,Manager,Small,4,April,2878.11,2024.42,680.84,4.12
13,3,SMA003,Manager,Small,5,May,2811.76,1910.29,626.37,4.24
13,3,SMA003,Manager,Small,6,June,2570.26,1739.36,576.93,4.1
13,3,SMA003,Manager,Small,7,July,2650.92,1836.48,581.56,3.89
13,3,SMA003,Manager,Small,8,August,2212.15,1726.87,560.77,3.92
13,3,SMA003,Manager,Small,9,September,2349.8,1717.54,542.14,3.76
13,3,SMA003,Manager,Small,10,October,2348.35,1561.64,563.89,3.69
13,3,SMA003,Manager,Small,11,November,2306.21,1692.18,577.94,4.01
13,3,SMA003,Manager,Small,12,December,2552.98,1758.57,607.74,4.02
14,3,SMA003,Advisor,Small,1,January,1825.17,1350.68,432.61,4.11
14,3,SMA003,Advisor,Small,2,February,1932.09,1582.42,434.69,4.17
14,3,SMA003,Advisor,Small,3,March,1830.21,1544.27,442.28,4.01
14,3,SMA003,Advisor,Small,4,April,1899.61,1388.22,424.55,4.23
14,3,SMA003,Advisor,Small,5,May,1843.28,1465.97,461.41,3.89
14,3,SMA003,Advisor,Small,6,June,1965.32,1400.31,425.66,4.15
14,3,SMA003,Advisor,Small,7,July,1642.8,1428.57,387.56,3.85
14,3,SMA003,Advisor,Small,8,August,1622.52,1379.99,384.96,3.79
14,3,SMA003,Advisor,Small,9,September,1825.6,1277.77,424.92,3.86
14,3,SMA003,Advisor,Small,10,October,1667.5,1298.28,369.88,3.6
14,3,SMA003,Advisor,Small,11,November,1792.68,1261.38,403.92,3.89
14,3,SMA003,Advisor,Small,12,December,1715.76,1386.13,411.53,3.65
15,3,SMA003,Advisor,Small,1,January,1749.89,1347.26,388.17,4.05
15,3,SMA003,Advisor,Small,2,February,1777.04,1354.66,422.39,4.13
15,3,SMA003,Advisor,Small,3,March,1810.14,1476.98,435.91,3.99
15,3,SMA003,Advisor,Small,4,April,1928.24,1527.62,441.65,3.9
15,3,SMA003,Advisor,Small,5,May,1785.05,1532.17,442.37,4.16
15,3,SMA003,Advisor,Small,6,June,1971.64,1398.93,451.45,4.05
15,3,SMA003,Advisor,Small,7,July,1762.93,1471.72,444.44,3.96
15,3,SMA003,Advisor,Small,8,August,1681.41,1374.2,398.3,3.75
15,3,SMA003,Advisor,Small,9,September,1686.37,1286.55,385.53,3.69
15,3,SMA003,Advisor,Small,10,October,1798.95,1322.05,378.98,3.73
15,3,SMA003,Advisor,Small,11,November,1733.97,1372.01,423.83,3.63
15,3,SMA003,Advisor,Small,12,December,1832.79,1485.67,379.8,4.0
16,3,SMA003,Teller,Small,1,January,0.0,0.0,549.67,3.88
16,3,SMA003,Teller,Small,2,February,0.0,0.0,560.92,4.0
16,3,SMA003,Teller,Small,3,March,0.0,0.0,561.61,4.16
16,3,SMA003,Teller,Small,4,April,0.0,0.0,588.46,3.87
16,3,SMA003,Teller,Small,5,May,0.0,0.0,583.43,3.99
16,3,SMA003,Teller,Small,6,June,0.0,0.0,593.3,3.93
16,3,SMA003,Teller,Small,7,July,0.0,0.0,550.17,3.54
16,3,SMA003,Teller,Small,8,August,0.0,0.0,585.83,3.49
16,3,SMA003,Teller,Small,9,September,0.0,0.0,496.89,3.66
16,3,SMA003,Teller,Small,10,October,0.0,0.0,530.65,3.65
16,3,SMA003,Teller,Small,11,November,0.0,0.0,539.06,3.57
16,3,SMA003,Teller,Small,12,December,0.0,0.0,536.86,3.74
17,3,SMA003,Teller,Small,1,January,0.0,0.0,520.17,3.9
17,3,SMA003,Teller,Small,2,February,0.0,0.0,583.47,3.95
17,3,SMA003,Teller,Small,3,March,0.0,0.0,582.06,4.05
17,3,SMA003,Teller,Small,4,April,0.0,0.0,571.22,4.18
17,3,SMA003,Teller,Small,5,May,0.0,0.0,548.97,3.87
17,3,SMA003,Teller,Small,6,June,0.0,0.0,560.75,3.88
17,3,SMA003,Teller,Small,7,July,0.0,0.0,556.03,3.8
17,3,SMA003,Teller,Small,8,August,0.0,0.0,565.31,3.7
17,3,SMA003,Teller,Small,9,September,0.0,0.0,546.32,3.5
17,3,SMA003,Teller,Small,10,October,0.0,0.0,551.25,3.47
17,3,SMA003,Teller,Small,11,November,0.0,0.0,500.94,3.56
17,3,SMA003,Teller,Small,12,December,0.0,0.0,506.92,3.63
18,3,SMA003,Teller,Small,1,January,0.0,0.0,572.53,3.79
18,3,SMA003,Teller,Small,2,February,0.0,0.0,553.55,3.82
18,3,SMA003,Teller,Small,3,March,0.0,0.0,606.34,4.07
18,3,SMA003,Teller,Small,4,April,0.0,0.0,604.42,4.07
18,3,SMA003,Teller,Small,5,May,0.0,0.0,597.97,3.85
18,3,SMA003,Teller,Small,6,June,0.0,0.0,565.35,3.72
18,3,SMA003,Teller,Small,7,July,0.0,0.0,535.5,3.68
18,3,SMA003,Teller,Small,8,August,0.0,0.0,521.26,3.51
18,3,SMA003,Teller,Small,9,September,0.0,0.0,574.88,3.6
18,3,SMA003,Teller,Small,10,October,0.0,0.0,530.02,3.42
18,3,SMA003,Teller,Small,11,November,0.0,0.0,569.48,3.65
18,3,SMA003,Teller,Small,12,December,0.0,0.0,537.66,3.66
19,4,SMA004,Manager,Small,1,January,2525.14,1822.93,553.97,3.88
19,4,SMA004,Manager,Small,2,February,2655.74,1831.51,658.21,4.17
19,4,SMA004,Manager,Small,3,March,2411.26,1918.9,615.27,4.12
19,4,SMA004,Manager,Small,4,April,2731.36,1878.38,695.38,3.98
19,4,SMA004,Manager,Small,5,May,2670.06,1977.1,672.87,4.16
19,4,SMA004,Manager,Small,6,June,2643.65,1808.33,611.93,4.17
19,4,SMA004,Manager,Small,7,July,2642.49,1743.18,602.98,3.98
19,4,SMA004,Manager,Small,8,August,2428.23,1784.82,576.46,3.77
19,4,SMA004,Manager,Small,9,September,2526.88,1685.45,575.11,3.69
19,4,SMA004,Manager,Small,10,October,2222.47,1696.74,542.24,3.74
19,4,SMA004,Manager,Small,11,November,2301.1,1673.68,569.38,3.69
19,4,SMA004,Manager,Small,12,December,2367.58,1831.1,581.25,4.03
20,4,SMA004,Advisor,Small,1,January,1752.91,1446.58,430.95,3.92
20,4,SMA004,Advisor,Small,2,February,1930.39,1434.7,446.44,3.82
20,4,SMA004,Advisor,Small,3,March,1891.47,1377.47,461.38,4.16
20,4,SMA004,Advisor,Small,4,April,1824.36,1386.72,456.43,4.21
20,4,SMA004,Advisor,Small,5,May,2068.2,1433.9,439.85,3.93
20,4,SMA004,Advisor,Small,6,June,1811.09,1465.58,442.81,3.9
20,4,SMA004,Advisor,Small,7,July,1662.09,1393.43,434.98,3.84
20,4,SMA004,Advisor,Small,8,August,1892.18,1370.76,430.4,3.69
20,4,SMA004,Advisor,Small,9,September,1632.02,1312.24,411.86,3.73
20,4,SMA004,Advisor,Small,10,October,1695.01,1337.25,406.92,3.8
20,4,SMA004,Advisor,Small,11,November,1674.77,1322.59,394.63,3.56
20,4,SMA004,Advisor,Small,12,December,1808.57,1449.17,418.56,3.83
21,4,SMA004,Advisor,Small,1,January,1756.97,1420.01,425.82,3.98
21,4,SMA004,Advisor,Small,2,February,1924.59,1367.73,434.09,4.2
21,4,SMA004,Advisor,Small,3,March,1815.23,1470.54,486.25,4.04
21,4,SMA004,Advisor,Small,4,April,1858.5,1411.38,429.51,3.98
21,4,SMA004,Advisor,Small,5,May,1960.44,1426.61,459.49,4.07
21,4,SMA004,Advisor,Small,6,June,1772.6,1457.45,420.64,4.2
21,4,SMA004,Advisor,Small,7,July,1771.57,1446.78,435.9,3.9
21,4,SMA004,Advisor,Small,8,August,1710.23,1324.31,413.32,3.54
21,4,SMA004,Advisor,Small,9,September,1732.88,1390.86,381.83,3.56
21,4,SMA004,Advisor,Small,10,October,1727.73,1325.74,417.6,3.69
21,4,SMA004,Advisor,Small,11,November,1707.38,1387.58,434.37,3.54
21,4,SMA004,Advisor,Small,12,December,1707.89,1304.13,442.83,3.81
22,4,SMA004,Teller,Small,1,January,0.0,0.0,556.71,4.05
22,4,SMA004,Teller,Small,2,February,0.0,0.0,562.3,3.98
22,4,SMA004,Teller,Small,3,March,0.0,0.0,600.09,4.22
22,4,SMA004,Teller,Small,4,April,0.0,0.0,569.0,4.18
