employee_id,branch_id,branch_code,role,tier,month_number,month_name,target_lending,target_investing,target_banking_units,target_lei,target_compliance
1,1,SMA001,Manager,Small,1,January,2449.61,1887.11,599.6,80.68,90.17
1,1,SMA001,Manager,Small,2,February,2663.34,1935.15,593.45,81.04,92.41
1,1,SMA001,Manager,Small,3,March,2534.89,1986.98,653.99,85.29,91.05
1,1,SMA001,Manager,Small,4,April,2540.82,1950.76,655.86,86.41,93.49
1,1,SMA001,Manager,Small,5,May,2499.71,1929.17,602.93,86.09,90.03
1,1,SMA001,Manager,Small,6,June,2458.61,1817.72,603.4,83.33,92.23
1,1,SMA001,Manager,Small,7,July,2469.89,1835.76,625.49,80.4,85.99
1,1,SMA001,Manager,Small,8,August,2381.19,1684.54,586.9,79.23,87.39
1,1,SMA001,Manager,Small,9,September,2402.54,1735.18,570.06,74.66,83.32
1,1,SMA001,Manager,Small,10,October,2347.67,1654.87,579.38,75.12,80.69
1,1,SMA001,Manager,Small,11,November,2433.19,1742.54,560.46,77.37,82.14
1,1,SMA001,Manager,Small,12,December,2460.68,1808.13,593.35,75.62,85.33
2,1,SMA001,Advisor,Small,1,January,1748.25,1423.87,418.66,77.46,0.0
2,1,SMA001,Advisor,Small,2,February,1824.42,1487.28,443.92,80.41,0.0
2,1,SMA001,Advisor,Small,3,March,1977.68,1503.45,448.68,83.77,0.0
2,1,SMA001,Advisor,Small,4,April,1837.42,1545.84,440.11,82.44,0.0
2,1,SMA001,Advisor,Small,5,May,1837.3,1458.05,422.77,81.67,0.0
2,1,SMA001,Advisor,Small,6,June,1937.71,1453.14,415.39,80.15,0.0
2,1,SMA001,Advisor,Small,7,July,1729.84,1332.32,418.36,76.91,0.0
2,1,SMA001,Advisor,Small,8,August,1751.39,1337.9,391.85,75.89,0.0
2,1,SMA001,Advisor,Small,9,September,1657.33,1313.57,395.42,73.21,0.0
2,1,SMA001,Advisor,Small,10,October,1669.97,1256.67,390.16,75.2,0.0
2,1,SMA001,Advisor,Small,11,November,1653.47,1284.34,389.25,74.42,0.0
2,1,SMA001,Advisor,Small,12,December,1677.76,1296.87,397.17,73.89,0.0
3,1,SMA001,Advisor,Small,1,January,1871.11,1410.53,409.03,78.15,0.0
3,1,SMA001,Advisor,Small,2,February,1924.93,1470.77,428.47,79.82,0.0
3,1,SMA001,Advisor,Small,3,March,1954.89,1500.98,441.61,80.43,0.0
3,1,SMA001,Advisor,Small,4,April,1934.12,1514.55,435.76,80.22,0.0
3,1,SMA001,Advisor,Small,5,May,1970.75,1490.73,452.39,83.79,0.0
3,1,SMA001,Advisor,Small,6,June,1792.86,1468.16,418.18,79.53,0.0
3,1,SMA001,Advisor,Small,7,July,1883.2,1423.24,416.97,75.76,0.0
3,1,SMA001,Advisor,Small,8,August,1812.57,1313.28,418.0,73.43,0.0
3,1,SMA001,Advisor,Small,9,September,1702.0,1261.02,413.04,73.83,0.0
3,1,SMA001,Advisor,Small,10,October,1610.34,1339.69,386.54,72.12,0.0
3,1,SMA001,Advisor,Small,11,November,1749.98,1363.79,382.25,75.3,0.0
3,1,SMA001,Advisor,Small,12,December,1744.37,1337.74,409.26,76.4,0.0
4,1,SMA001,Teller,Small,1,January,0.0,0.0,548.86,75.24,0.0
4,1,SMA001,Teller,Small,2,February,0.0,0.0,596.62,78.21,0.0
4,1,SMA001,Teller,Small,3,March,0.0,0.0,568.36,79.52,0.0
4,1,SMA001,Teller,Small,4,April,0.0,0.0,565.75,80.94,0.0
4,1,SMA001,Teller,Small,5,May,0.0,0.0,564.9,81.97,0.0
4,1,SMA001,Teller,Small,6,June,0.0,0.0,584.12,78.49,0.0
4,1,SMA001,Teller,Small,7,July,0.0,0.0,541.8,77.87,0.0
4,1,SMA001,Teller,Small,8,August,0.0,0.0,567.39,72.73,0.0
4,1,SMA001,Teller,Small,9,September,0.0,0.0,548.64,70.42,0.0
4,1,SMA001,Teller,Small,10,October,0.0,0.0,518.35,69.77,0.0
4,1,SMA001,Teller,Small,11,November,0.0,0.0,540.51,72.15,0.0
4,1,SMA001,Teller,Small,12,December,0.0,0.0,542.48,71.79,0.0
5,1,SMA001,Teller,Small,1,January,0.0,0.0,578.23,74.28,0.0
5,1,SMA001,Teller,Small,2,February,0.0,0.0,596.07,76.17,0.0
5,1,SMA001,Teller,Small,3,March,0.0,0.0,589.22,82.15,0.0
5,1,SMA001,Teller,Small,4,April,0.0,0.0,572.39,81.69,0.0
5,1,SMA001,Teller,Small,5,May,0.0,0.0,561.54,82.03,0.0
5,1,SMA001,Teller,Small,6,June,0.0,0.0,570.98,80.18,0.0
5,1,SMA001,Teller,Small,7,July,0.0,0.0,541.7,75.71,0.0
5,1,SMA001,Teller,Small,8,August,0.0,0.0,557.74,72.61,0.0
5,1,SMA001,Teller,Small,9,September,0.0,0.0,520.14,73.9,0.0
5,1,SMA001,Teller,Small,10,October,0.0,0.0,543.97,69.71,0.0
5,1,SMA001,Teller,Small,11,November,0.0,0.0,540.73,71.44,0.0
5,1,SMA001,Teller,Small,12,December,0.0,0.0,541.1,75.54,0.0
6,1,SMA001,Teller,Small,1,January,0.0,0.0,539.87,77.86,0.0
6,1,SMA001,Teller,Small,2,February,0.0,0.0,583.77,80.16,0.0
6,1,SMA001,Teller,Small,3,March,0.0,0.0,567.06,80.76,0.0
6,1,SMA001,Teller,Small,4,April,0.0,0.0,613.73,78.55,0.0
6,1,SMA001,Teller,Small,5,May,0.0,0.0,594.66,81.49,0.0
6,1,SMA001,Teller,Small,6,June,0.0,0.0,554.96,78.68,0.0
6,1,SMA001,Teller,Small,7,July,0.0,0.0,560.91,76.28,0.0
6,1,SMA001,Teller,Small,8,August,0.0,0.0,550.79,72.19,0.0
6,1,SMA001,Teller,Small,9,September,0.0,0.0,547.13,72.59,0.0
6,1,SMA001,Teller,Small,10,October,0.0,0.0,546.4,71.52,0.0
6,1,SMA001,Teller,Small,11,November,0.0,0.0,531.21,71.58,0.0
6,1,SMA001,Teller,Small,12,December,0.0,0.0,526.04,72.55,0.0
7,2,SMA002,Manager,Small,1,January,2440.07,1820.3,596.35,80.76,86.01
7,2,SMA002,Manager,Small,2,February,2483.91,1765.32,595.86,83.61,89.23
7,2,SMA002,Manager,Small,3,March,2632.93,1931.33,612.26,84.06,91.4
7,2,SMA002,Manager,Small,4,April,2544.01,1924.94,627.56,83.66,92.64
7,2,SMA002,Manager,Small,5,May,2708.76,1886.71,650.96,82.38,91.37
7,2,SMA002,Manager,Small,6,June,2477.18,1833.5,622.98,80.1,91.46
7,2,SMA002,Manager,Small,7,July,2539.3,1790.01,624.49,79.3,86.1
7,2,SMA002,Manager,Small,8,August,2517.74,1738.73,553.43,76.01,85.36
7,2,SMA002,Manager,Small,9,September,2455.66,1657.11,591.72,75.96,83.49
7,2,SMA002,Manager,Small,10,October,2273.51,1633.02,572.79,75.48,82.52
7,2,SMA002,Manager,Small,11,November,2455.1,1645.04,585.03,76.56,85.55
7,2,SMA002,Manager,Small,12,December,2320.29,1805.25,581.05,79.75,85.9
8,2,SMA002,Advisor,Small,1,January,1742.47,1429.19,420.29,78.74,0.0
8,2,SMA002,Advisor,Small,2,February,1890.67,1454.81,436.09,80.75,0.0
8,2,SMA002,Advisor,Small,3,March,1811.65,1403.46,452.11,80.73,0.0
8,2,SMA002,Advisor,Small,4,April,1907.89,1510.61,437.35,81.35,0.0
8,2,SMA002,Advisor,Small,5,May,1972.54,1516.28,424.39,83.93,0.0
8,2,SMA002,Advisor,Small,6,June,1832.51,1510.25,450.87,78.23,0.0
8,2,SMA002,Advisor,Small,7,July,1716.74,1434.99,417.54,77.41,0.0
8,2,SMA002,Advisor,Small,8,August,1663.84,1313.74,391.42,75.43,0.0
8,2,SMA002,Advisor,Small,9,September,1729.92,1334.75,386.06,73.91,0.0
8,2,SMA002,Advisor,Small,10,October,1645.55,1347.87,392.2,73.45,0.0
8,2,SMA002,Advisor,Small,11,November,1635.82,1264.11,416.49,72.16,0.0
8,2,SMA002,Advisor,Small,12,December,1683.24,1290.81,418.58,75.97,0.0
9,2,SMA002,Advisor,Small,1,January,1771.33,1425.53,439.23,79.07,0.0
9,2,SMA002,Advisor,Small,2,February,1796.55,1399.82,446.77,80.34,0.0
9,2,SMA002,Advisor,Small,3,March,1969.23,1524.8,455.15,81.75,0.0
9,2,SMA002,Advisor,Small,4,April,1979.35,1494.26,428.6,82.77,0.0
9,2,SMA002,Advisor,Small,5,May,1893.29,1406.69,443.61,79.7,0.0
9,2,SMA002,Advisor,Small,6,June,1815.05,1489.32,427.86,79.66,0.0
9,2,SMA002,Advisor,Small,7,July,1738.42,1370.33,421.45,76.79,0.0
9,2,SMA002,Advisor,Small,8,August,1765.42,1332.5,412.23,75.87,0.0
9,2,SMA002,Advisor,Small,9,September,1720.59,1385.25,417.49,74.63,0.0
9,2,SMA002,Advisor,Small,10,October,1678.7,1276.59,410.12,71.38,0.0
9,2,SMA002,Advisor,Small,11,November,1760.52,1304.64,408.42,75.78,0.0
9,2,SMA002,Advisor,Small,12,December,1744.87,1399.51,410.0,76.16,0.0
10,2,SMA002,Teller,Small,1,January,0.0,0.0,535.96,75.62,0.0
